author,published_time,likes,comment,isPublic
@ferryirwandi,2024-10-10T09:02:59Z,4729,"hallo warga sipil sekalian, selamat menonton",True
@udinaja5394,2025-04-11T22:47:18Z,0,prestasi menteri pendidikan LGBT ala barat,True
@anisafiqriyah8612,2025-04-10T06:09:05Z,0,"Semoga Mentri Pendidikan periode ini bisa mengubah sistem pendidikan di Indonesia, seperi mengurangi kuota untuk masuk suatu sekolah dengan sistem zonasi, dan mengembalikan Sistem UN agar siswa di Indonesia kembali memiliki daya bersain untuk mengejar prestasi dan sekolah terbaik. Dengan di adakannya zonasi beberapa sekolah negeri di Indonesia tidak ada yang menjadi sekolah favorit lagi🙏",True
@MuhammadAmin-yt8sd,2025-04-09T15:59:13Z,0,"Jgn ngerokok bos, minimal di video ngga keliatan, meskipun lu perokok, lu itu di idolakan, bisa jadi contoh buruk",True
@faridfarid-kv2il,2025-04-09T01:56:26Z,0,Gen produk nadiem😅😅😅,True
@nothingimportant1125,2025-04-08T00:51:18Z,0,"Pemerintah salah tapi rakyatnya juga ga mau kok pakai otaknya untuk belajar hal hal baru ... Sumpah kosong sekali anak sekarang , joget aja kerjanya",True
@nanaseriku2362,2025-04-07T17:20:35Z,0,"Salahnya bukan di sistemnya tapi penerapannya. Buktinya, sekolahku ada di pinggiran kota, swasta dan ga seterkenal itu meskipun kalau di daerahku terkenal. Itu kepala sekolahnya sendiri ke Finland <b>BELAJAR</b> sistem disana kek gimana. Kita satu sama lain nga ada paksaan buat jadi ini itu, nilai bisa dapet dari ekskul atau hal apapun, tapi semua lulus ada prestasi bahkan ada yang jadi atlit daerah lulus SD, bisa baca semua, dan itu semua jauh sebelum ada kurikulum merdeka. Memang pernah ada 1 kali satahu aku dia nga naik kelas, tapi itupun untuk kebaikan dia karena secara mentality, behavior, dan segala aspek dia belum siap but he did it. Meskipun dia inklusi tapi dia bisa baca tulis, komunikasi.<br><br>Penerapan ini butuh partisipasi banyak pihak, Indonesia belum siap that&#39;s it. Kalau mau menerapkan liat dulu cara kerja sekolah,murid, guru, sampe wali muridnya juga. Selain itu, faktor di luar sekolah juga ngaruh, mau sekolah sebagus apa ngajarin apa tapi di lingkungan keluarga dan pergaulan luar sekolah bobrok ya sama aja. Sekolah jadi dianggap tempat tambal ban padahal kan nga harusnya gitu.<br>Terlalu banyak dari kita yang harus dibenerin, orang² nya, politiknya, hukum, sampe ke pola pikir pun dari atas sampe bawah perlu dibenerin.t",True
@clairetrytche,2025-04-07T13:30:25Z,1,"<a href=""https://www.youtube.com/watch?v=1qDL8bPuj_I&amp;t=743"">12:23</a> sumpah itu SMA gw kayanya... malu bangettt",True
@ayikpramandu6526,2025-04-05T15:52:43Z,0,"koreksi bang,. soundmu kadang bikin kaget",True
@hdpro609,2025-04-05T05:07:07Z,0,"Teorinya 1000, prakteknya 0, pejabat di Indonesia banyak yang korupsi",True
@muhammadbaqir8612,2025-04-05T02:31:59Z,0,"Yg perlu dibenahi itu salah satunya yg utama menurut saya bullian yg dianggap umum dan wajar zaman skrng, karena  bullian pengaruh kemental seseorang serta adab ketimuran kita sdh mulai menghilang",True
@LLLLlll__0000,2025-04-04T11:14:25Z,0,"Semua dites psikometric lah pak, Ah, kaco banget pak, sumpah, biar gw kerja mentalnya waras, sekolah juga gak dapet bocah2 kroco banyak petingkahlah anjrot",True
